Year,Units,Sustainably managed status,Country,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2006,Growth rate (%),,,Percentage (%),Units,Undefined,,0.276528216
2007,Growth rate (%),Certified,,Percentage (%),Units,Undefined,,4.118652198
2007,Growth rate (%),,,Percentage (%),Units,Undefined,,0.36639953399999997
2008,Growth rate (%),Certified,,Percentage (%),Units,Undefined,,-1.15031279
2008,Growth rate (%),,,Percentage (%),Units,Undefined,,0.235884875
2009,Growth rate (%),Certified,,Percentage (%),Units,Undefined,,1.7080582080000002
2009,Growth rate (%),,,Percentage (%),Units,Undefined,,0.20253175399999998
2010,Growth rate (%),Certified,,Percentage (%),Units,Undefined,,1.141729664
2010,Growth rate (%),,,Percentage (%),Units,Undefined,,0.166756495
2011,Growth rate (%),Certified,,Percentage (%),Units,Undefined,,-1.722387083
2011,Growth rate (%),,,Percentage (%),Units,Undefined,,0.26397813
2012,Growth rate (%),Certified,,Percentage (%),Units,Undefined,,3.1348258660000003
2012,Growth rate (%),,,Percentage (%),Units,Undefined,,1.407703287
2013,Growth rate (%),Certified,,Percentage (%),Units,Undefined,,-0.21957665399999998
2013,Growth rate (%),,,Percentage (%),Units,Undefined,,0.476364014
2014,Growth rate (%),Certified,,Percentage (%),Units,Undefined,,1.0574611859999998
2014,Growth rate (%),,,Percentage (%),Units,Undefined,,0.58082906
2015,Growth rate (%),Certified,,Percentage (%),Units,Undefined,,-0.107823658
2015,Growth rate (%),,,Percentage (%),Units,Undefined,,0.353790551
2016,Growth rate (%),Certified,,Percentage (%),Units,Undefined,,-1.85184282
2016,Growth rate (%),,,Percentage (%),Units,Undefined,,0.139370338
2017,Growth rate (%),Certified,,Percentage (%),Units,Undefined,,2.8162212269999998
2017,Growth rate (%),,,Percentage (%),Units,Undefined,,0.154967864
2018,Growth rate (%),Certified,,Percentage (%),Units,Undefined,,-0.898610043
2018,Growth rate (%),,,Percentage (%),Units,Undefined,,0.307992521
2019,Growth rate (%),Certified,,Percentage (%),Units,Undefined,,1.80265581
2019,Growth rate (%),,,Percentage (%),Units,Undefined,,0.426862377
2005,Growth rate (%),Certified,England,Percentage (%),Units,Undefined,E92000001,15.23410459
2005,Growth rate (%),,England,Percentage (%),Units,Undefined,E92000001,0.389209374
2006,Growth rate (%),Certified,England,Percentage (%),Units,Undefined,E92000001,2.87379879
2006,Growth rate (%),,England,Percentage (%),Units,Undefined,E92000001,0.26521798
2007,Growth rate (%),Certified,England,Percentage (%),Units,Undefined,E92000001,2.908834345
2007,Growth rate (%),,England,Percentage (%),Units,Undefined,E92000001,0.229596214
2008,Growth rate (%),Certified,England,Percentage (%),Units,Undefined,E92000001,-5.110829804
2008,Growth rate (%),,England,Percentage (%),Units,Undefined,E92000001,0.186594452
2009,Growth rate (%),Certified,England,Percentage (%),Units,Undefined,E92000001,2.094614417
2009,Growth rate (%),,England,Percentage (%),Units,Undefined,E92000001,0.18076574899999998
2010,Growth rate (%),Certified,England,Percentage (%),Units,Undefined,E92000001,1.325300629
2010,Growth rate (%),,England,Percentage (%),Units,Undefined,E92000001,0.164243121
2011,Growth rate (%),Certified,England,Percentage (%),Units,Undefined,E92000001,-6.145845562000001
2011,Growth rate (%),,England,Percentage (%),Units,Undefined,E92000001,0.196301439
2012,Growth rate (%),Certified,England,Percentage (%),Units,Undefined,E92000001,5.89319275
2012,Growth rate (%),,England,Percentage (%),Units,Undefined,E92000001,0.410041899
2013,Growth rate (%),Certified,England,Percentage (%),Units,Undefined,E92000001,-0.066071829
2013,Growth rate (%),,England,Percentage (%),Units,Undefined,E92000001,0.041602583
2014,Growth rate (%),Certified,England,Percentage (%),Units,Undefined,E92000001,-1.5498307119999999
2014,Growth rate (%),,England,Percentage (%),Units,Undefined,E92000001,0.284153295
2015,Growth rate (%),Certified,England,Percentage (%),Units,Undefined,E92000001,1.842142441
2015,Growth rate (%),,England,Percentage (%),Units,Undefined,E92000001,0.24003928800000002
2016,Growth rate (%),Certified,England,Percentage (%),Units,Undefined,E92000001,-5.197737352
