Year,Units,Size of particulate matter,Local Authority,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2016,Particulate matter (PM),,Portsmouth,Undefined,Units,microgram/m3,E06000044,12
2008,Particulate matter (PM),PM 10,Preston,Undefined,Units,microgram/m3,E07000123,18.729
2011,Particulate matter (PM),,Preston,Undefined,Units,microgram/m3,E07000123,11.387
2016,Particulate matter (PM),PM 10,Preston,Undefined,Units,microgram/m3,E07000123,14
2016,Particulate matter (PM),,Preston,Undefined,Units,microgram/m3,E07000123,10
2013,Particulate matter (PM),,Prestonpans,Undefined,Units,microgram/m3,,11.62583712
2011,Particulate matter (PM),PM 10,Reading,Undefined,Units,microgram/m3,E06000038,19.153
2011,Particulate matter (PM),,Reading,Undefined,Units,microgram/m3,E06000038,13.749
2013,Particulate matter (PM),PM 10,Reading,Undefined,Units,microgram/m3,E06000038,15.51868567
2013,Particulate matter (PM),,Reading,Undefined,Units,microgram/m3,E06000038,9.91568677
2016,Particulate matter (PM),PM 10,Rochester,Undefined,Units,microgram/m3,,16
2016,Particulate matter (PM),,Rochester,Undefined,Units,microgram/m3,,11
2013,Particulate matter (PM),,Salford,Undefined,Units,microgram/m3,E08000006,15.03087209
2013,Particulate matter (PM),PM 10,Salford,Undefined,Units,microgram/m3,E08000006,19
2013,Particulate matter (PM),,Salford,Undefined,Units,microgram/m3,E08000006,15
2013,Particulate matter (PM),,Saltash,Undefined,Units,microgram/m3,,10.70521349
2016,Particulate matter (PM),PM 10,Saltash,Undefined,Units,microgram/m3,,15
2016,Particulate matter (PM),,Saltash,Undefined,Units,microgram/m3,,8
2016,Particulate matter (PM),PM 10,Sandy,Undefined,Units,microgram/m3,,19
2016,Particulate matter (PM),,Sandy,Undefined,Units,microgram/m3,,12
2013,Particulate matter (PM),,Scunthorpe,Undefined,Units,microgram/m3,,15.79164875
2017,Particulate matter (PM),PM 10,Scunthorpe,Undefined,Units,microgram/m3,,16
2017,Particulate matter (PM),,Scunthorpe,Undefined,Units,microgram/m3,,6
2008,Particulate matter (PM),PM 10,Sheffield,Undefined,Units,microgram/m3,E08000019,22.353
2011,Particulate matter (PM),PM 10,Sheffield,Undefined,Units,microgram/m3,E08000019,22.698
2011,Particulate matter (PM),,Sheffield,Undefined,Units,microgram/m3,E08000019,17.353
2016,Particulate matter (PM),PM 10,Sheffield,Undefined,Units,microgram/m3,E08000019,14
2016,Particulate matter (PM),,Sheffield,Undefined,Units,microgram/m3,E08000019,10
2008,Particulate matter (PM),PM 10,Southampton,Undefined,Units,microgram/m3,E06000045,20.548
2011,Particulate matter (PM),PM 10,Southampton,Undefined,Units,microgram/m3,E06000045,20.969
2011,Particulate matter (PM),,Southampton,Undefined,Units,microgram/m3,E06000045,15.934
2013,Particulate matter (PM),,Southampton,Undefined,Units,microgram/m3,E06000045,15.01057159
2015,Particulate matter (PM),PM 10,Southampton,Undefined,Units,microgram/m3,E06000045,16
2015,Particulate matter (PM),,Southampton,Undefined,Units,microgram/m3,E06000045,10
2008,Particulate matter (PM),PM 10,Southend-on-Sea,Undefined,Units,microgram/m3,E06000033,19.9
2013,Particulate matter (PM),PM 10,Southend-on-Sea,Undefined,Units,microgram/m3,E06000033,15
2013,Particulate matter (PM),,Southend-on-Sea,Undefined,Units,microgram/m3,E06000033,11
2013,Particulate matter (PM),PM 10,Southend-on-Sea,Undefined,Units,microgram/m3,E06000033,14.95855102
2013,Particulate matter (PM),,Southend-on-Sea,Undefined,Units,microgram/m3,E06000033,10.63672807
2016,Particulate matter (PM),PM 10,Southend-on-Sea,Undefined,Units,microgram/m3,E06000033,17
2016,Particulate matter (PM),,Southend-on-Sea,Undefined,Units,microgram/m3,E06000033,12
2016,Particulate matter (PM),PM 10,Speke,Undefined,Units,microgram/m3,,15
2016,Particulate matter (PM),,Speke,Undefined,Units,microgram/m3,,10
2013,Particulate matter (PM),,Stanford le Hope,Undefined,Units,microgram/m3,,14.23764412
2016,Particulate matter (PM),PM 10,Stanford le Hope,Undefined,Units,microgram/m3,,20
2016,Particulate matter (PM),,Stanford le Hope,Undefined,Units,microgram/m3,,13
2016,Particulate matter (PM),PM 10,Stanmore,Undefined,Units,microgram/m3,,16
2016,Particulate matter (PM),,Stanmore,Undefined,Units,microgram/m3,,11
2016,Particulate matter (PM),PM 10,Stockbridge,Undefined,Units,microgram/m3,,15
2016,Particulate matter (PM),,Stockbridge,Undefined,Units,microgram/m3,,9
2013,Particulate matter (PM),,Stockton-on-Tees,Undefined,Units,microgram/m3,E06000004,10.04857825
2016,Particulate matter (PM),PM 10,Stockton-on-Tees,Undefined,Units,microgram/m3,E06000004,14
2016,Particulate matter (PM),,Stockton-on-Tees,Undefined,Units,microgram/m3,E06000004,9
2008,Particulate matter (PM),PM 10,Stoke-on-Trent,Undefined,Units,microgram/m3,E06000021,18.828
2011,Particulate matter (PM),PM 10,Stoke-on-Trent,Undefined,Units,microgram/m3,E06000021,22.227
2011,Particulate matter (PM),,Stoke-on-Trent,Undefined,Units,microgram/m3,E06000021,16.302
2013,Particulate matter (PM),PM 10,Stoke-on-Trent,Undefined,Units,microgram/m3,E06000021,20
2013,Particulate matter (PM),,Stoke-on-Trent,Undefined,Units,microgram/m3,E06000021,14
2013,Particulate matter (PM),,Stoke-on-Trent,Undefined,Units,microgram/m3,E06000021,13.78392794
2016,Particulate matter (PM),PM 10,Stoke-on-Trent,Undefined,Units,microgram/m3,E06000021,20
2016,Particulate matter (PM),,Stoke-on-Trent,Undefined,Units,microgram/m3,E06000021,12
2016,Particulate matter (PM),PM 10,Storrington,Undefined,Units,microgram/m3,,19
2016,Particulate matter (PM),,Storrington,Undefined,Units,microgram/m3,,13
2011,Particulate matter (PM),,Sunderland,Undefined,Units,microgram/m3,E08000024,14.947
2013,Particulate matter (PM),PM 10,Sunderland,Undefined,Units,microgram/m3,E08000024,12.76410878
2013,Particulate matter (PM),,Sunderland,Undefined,Units,microgram/m3,E08000024,9.07630385
2016,Particulate matter (PM),PM 10,Sunderland,Undefined,Units,microgram/m3,E08000024,12
2016,Particulate matter (PM),,Sunderland,Undefined,Units,microgram/m3,E08000024,8
2008,Particulate matter (PM),PM 10,Swansea,Undefined,Units,microgram/m3,W06000011,17.489
2013,Particulate matter (PM),,Swansea,Undefined,Units,microgram/m3,W06000011,11.92969335
2016,Particulate matter (PM),PM 10,Swansea,Undefined,Units,microgram/m3,W06000011,19
2016,Particulate matter (PM),,Swansea,Undefined,Units,microgram/m3,W06000011,13
2011,Particulate matter (PM),PM 10,Thurrock,Undefined,Units,microgram/m3,E06000034,24.852
2011,Particulate matter (PM),,Thurrock,Undefined,Units,microgram/m3,E06000034,17.55971892
2013,Particulate matter (PM),,Thurrock,Undefined,Units,microgram/m3,E06000034,13.62201607
2011,Particulate matter (PM),PM 10,Warrington,Undefined,Units,microgram/m3,E06000007,18.588
2011,Particulate matter (PM),,Warrington,Undefined,Units,microgram/m3,E06000007,12.772
2013,Particulate matter (PM),PM 10,Warrington,Undefined,Units,microgram/m3,E06000007,17.5294804
2013,Particulate matter (PM),,Warrington,Undefined,Units,microgram/m3,E06000007,13.60900228
2014,Particulate matter (PM),PM 10,Warrington,Undefined,Units,microgram/m3,E06000007,21
2014,Particulate matter (PM),,Warrington,Undefined,Units,microgram/m3,E06000007,14
2011,Particulate matter (PM),PM 10,Warwick,Undefined,Units,microgram/m3,E07000222,20.389
2011,Particulate matter (PM),,Warwick,Undefined,Units,microgram/m3,E07000222,14.40628959
2013,Particulate matter (PM),,Wigan,Undefined,Units,microgram/m3,E08000010,12.80929487
